id,unit,lesson,type,requiresChart,chartType,types,detection,subFlags,subFlagsByType,promptSnippet,fullPrompt
U1-L10-Q04,1,10,free-response,true,histogram,,flag:chartType:histogram;keyword:histogram,,histogram:,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…","Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods as well as on the accuracy and completeness of your results and explanations.

The following frequency table summarizes the total amounts, in dollars, for 91 orders from a food truck during a certain day.

(a-i) Use the data in the table to create a histogram showing the distribution of the amounts of the orders.
(a-ii) Describe the shape of the distribution of amounts.
(b) Identify a possible amount for the median of the distribution. Justify your answer."
U1-L10-Q06,1,10,free-response,true,normal,,keyword:normal curve,normalParams,normal:normalParams,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…","Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods as well as on the accuracy and completeness of your results and explanations.

Kathy and her brother Clay recently ran in a local marathon. The distribution of finishing time for women was approximately normal with mean 259 minutes and standard deviation 32 minutes. The distribution of finishing time for men was approximately normal with mean 242 minutes and standard deviation 29 minutes.

(a) The finishing time for Clay was 289 minutes. Calculate and interpret the standardized score for Clay's marathon time. Show your work.
(b) The finishing time for Kathy was 272 minutes. What proportion of women who ran the marathon had a finishing time less than Kathy's? Show your work.
(c) The standard deviation of finishing time is greater for women than for men. What does this indicate about the finishing times of the women who ran the marathon compared to the finishing times of the men who ran the marathon?"
U1-PC-FRQ-Q01,1,PC,free-response,true,histogram,,flag:requiresGraph:histogram;flag:chartType:histogram;keyword:histogram;keyword:normal curve,histogramFromTable,histogram:histogramFromTable,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…","Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods as well as on the accuracy and completeness of your results and explanations.

The manager of a vacation resort believes that the ages of adult visitors to the resort can be modeled by a normal distribution. The manager surveyed a random sample of visitors and recorded their age. A summary of the responses is shown in the frequency table, where x represents the age of the visitor.

(a) Construct a histogram of the distribution of ages.
(b) Write a few sentences to describe the distribution of ages of the adult visitors to the resort.
(c) Does the histogram provide convincing evidence that the surveyed ages come from a normal distribution? Explain your answer."
U1-PC-FRQ-Q02,1,PC,free-response,true,normal,,keyword:normal curve,normalParams,normal:normalParams,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…","Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods as well as on the accuracy and completeness of your results and explanations.

A certain type of bird lives in two regions of a state. The distribution of weight for birds of this type in the northern region is approximately normal with mean 10 ounces and standard deviation 3 ounces. The distribution of weight for birds of this type in the southern region is approximately normal with mean 16 ounces and standard deviation 2.5 ounces.

(a) Calculate the z-scores for a weight of 13 ounces for a bird living in the northern region and for a weight of 13 ounces for a bird living in the southern region.
(b) Is it more likely that a bird of this type with a weight greater than 13 ounces lives in the northern region or the southern region? Justify your answer."
U2-L9-Q01,2,9,free-response,true,scatter,,flag:chartType:scatter;keyword:scatterplot,scatterNeedsRegression,scatter:scatterNeedsRegression,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…","Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods as well as on the accuracy and completeness of your results and explanations.

The following scatterplot shows the number of wins and the attendance per game for 30 baseball teams in 2017. Also shown are the least-squares regression line and computer output.

(a) Interpret the slope of the least-squares regression line in context.

(b) Explain why it is not reasonable to use the least-squares regression model to predict attendance per game for 0 wins.

(c) What is the value of the correlation coefficient for the sample?

(d) If the point representing 64 wins and attendance of 40,786 people per game is removed from the set of data and a new regression analysis is conducted, how would the following be impacted? Explain your reasoning.
(i) The slope of the least-squares line:
(ii) The correlation coefficient:"
U2-PC-FRQ-Q01,2,PC,free-response,true,scatter,,flag:chartType:scatter;keyword:scatterplot,,scatter:,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…","Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods as well as on the accuracy and completeness of your results and explanations.

The following table shows the annual income, in dollars, and amount spent on vacation, in dollars, for a sample of 8 families.

(a) Create a scatterplot of the data in the table.
(b) Describe the association shown in the scatterplot created in part (a).
(c) Calculate the coefficient of determination for the data, and interpret the value in context."
U2-PC-FRQ-Q02,2,PC,free-response,true,multi,normal;scatter,flag:chartType:normal;flag:chartType:scatter;keyword:scatterplot;keyword:normal curve,scatterNeedsRegression;normalParams,normal:normalParams;scatter:scatterNeedsRegression,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…","Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods as well as on the accuracy and completeness of your results and explanations.

A random sample of 65 high school seniors was selected from all high school seniors at a certain high school. The following scatterplot shows the height, in centimeters (cm), and the foot length, in cm, for each high school senior from the sample. The least-squares regression line is shown. The computer output from the least-squares regression analysis is also shown.

(a) Calculate and interpret the residual for the high school senior with a foot length of 20 cm and a height of 160 cm.
(b) The standard deviation of the residuals is \(s = 5.9\). Interpret the value in context.
(c) Assume that the distribution of residuals is approximately normal with mean 0 cm and standard deviation 5.9 cm. What percent of the residuals are greater than 8 cm? Justify your answer.
(d) Based on your answer to part (c), would it be surprising to randomly select a high school senior from the high school with a foot length of 20 cm and a height greater than 165 cm? Justify your answer."
U3-L3-Q01,3,3,free-response,false,words-only,,,,,"Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods…","Show all your work. Indicate clearly the methods you use, because you will be scored on the correctness of your methods as well as on the accuracy and completeness of your results and explanations.

Biologists want to estimate the number of deer living in a certain region. They will use a method known as a hair snare. A hair snare is a length of barbed wire set up near a salt lick, where deer can lick minerals and nutrients from salt deposits. The wire snares hair from the neck of the deer. The hair is collected and sent for analysis.

The biologists will randomly place 90 salt licks throughout the region. The region consists of 3 areas: the town, the forest, and the lake, as shown in the following diagram.

(a) Two methods have been proposed for choosing where to place the salt licks: a simple random sample or a stratified random sample, with area as strata. Give one reason why the stratified random sample might be the better method for choosing where to place the salt licks.

(b) By using the hair snare method, deer are sampled with replacement. Why is sampling with replacement a problem in this context, and how would the problem impact the estimate of the number of deer living in the region?"
U3-L5-Q02,3,5,free-response,true,bar,,flag:chartType:bar;keyword:bar chart,,bar:,"To prevent deer from running across highways, researchers are investigating sound-emitting devices that would frighten …","To prevent deer from running across highways, researchers are investigating sound-emitting devices that would frighten deer before they reach the highway. As part of the investigation, the researchers set up devices along a two-mile stretch of road. When a deer approached a device, the device would activate and emit a sound. The researchers recorded whether the deer moved toward the highway (positive response), away from the highway (negative response), or did not move (neutral response). The researchers kept the loudness of the sound constant at 60 decibels. However, they varied the pitch of the sound. There were 6 treatment levels, all measured in kilohertz (\(\text{kHz}\)): 0, 0.28, 1, 8, 15, and 28. The order of the treatments was randomly assigned."
U3-PC-FRQ-Q01,3,PC,free-response,false,words-only,,,,,"Researchers are investigating whether people who exercise with a training partner have a greater increase, on average, …","Researchers are investigating whether people who exercise with a training partner have a greater increase, on average, in targeted exercise intensity compared with people who exercise alone. Two methods of collecting data have been proposed.

Method I: Recruit volunteers who are willing to participate. Randomly assign each participant to exercise with a training partner or to exercise alone.

Method II: Select a random sample of people from all the people who exercise at a community fitness center. Ask each person in the sample whether they use a training partner, and use the response to create the two groups.

(a) For each method, the researchers will record the change in targeted exercise intensity for each person in the investigation. They will compare the mean change in intensity between those who exercise with a training partner and those who do not.

(i) Describe the population of generalization if method I is used. Explain your answer.

(ii) Describe the population of generalization if method II is used. Explain your answer.

(b) Suppose the investigation produces a result that is statistically significant using both methods. What can be concluded if method I is used that cannot be concluded if method II is used? Explain your answer."
