id,username,question_id,answer_value,timestamp,created_at,updated_at
111782,apple_monkey,U2-L4-Q01,C,1762911269408,2025-11-12 01:34:30.084535+00,2025-11-19 13:29:15.148765+00
111783,apple_monkey,U2-L4-Q02,D,1762911297070,2025-11-12 01:34:57.351454+00,2025-11-19 13:29:14.842056+00
111784,apple_monkey,U2-L4-Q03,A,1762911355883,2025-11-12 01:35:56.452229+00,2025-11-19 13:29:14.735045+00
2504,Apple_Monkey,U1-L10-Q01,D,1759793769807,2025-10-06 23:36:10.547392+00,2025-11-19 13:29:58.910647+00
2506,Apple_Monkey,U1-L10-Q02,A,1759794700231,2025-10-06 23:51:40.845791+00,2025-11-19 13:29:58.797863+00
2507,Apple_Monkey,U1-L10-Q03,A,1759794738368,2025-10-06 23:52:18.781776+00,2025-11-19 13:29:58.711692+00
2505,Apple_Monkey,U1-L10-Q05,B,1759794825371,2025-10-06 23:48:30.143305+00,2025-11-19 13:29:58.44138+00
2510,Apple_Monkey,U1-L10-Q07,C,1759794859874,2025-10-06 23:54:20.404899+00,2025-11-19 13:29:58.333239+00
2511,Apple_Monkey,U1-L10-Q08,A,1759795403206,2025-10-07 00:03:23.850181+00,2025-11-19 13:29:58.254624+00
32,Apple_Monkey,U1-L2-Q01,B,1757684023766,2025-09-30 04:29:06.441912+00,2025-11-18 18:48:05.790438+00
33,Apple_Monkey,U1-L2-Q02,E,1757684040958,2025-09-30 04:29:06.546083+00,2025-11-18 18:48:05.693235+00
34,Apple_Monkey,U1-L2-Q03,B,1757684052880,2025-09-30 04:29:06.65585+00,2025-11-18 18:48:05.481091+00
36,Apple_Monkey,U1-L3-Q01,E,1757684204269,2025-09-30 04:29:06.87334+00,2025-11-18 18:48:04.744177+00
37,Apple_Monkey,U1-L3-Q02,B,1757684212610,2025-09-30 04:29:06.975975+00,2025-11-18 18:48:04.645221+00
35,Apple_Monkey,U1-L3-Q03,E,1757684188382,2025-09-30 04:29:06.765624+00,2025-11-18 18:48:05.057186+00
38,Apple_Monkey,U1-L4-Q01,C,1757814304913,2025-09-30 04:29:07.070418+00,2025-11-18 18:48:04.528297+00
39,Apple_Monkey,U1-L4-Q02,E,1757816164459,2025-09-30 04:29:07.179802+00,2025-11-18 18:48:04.439262+00
40,Apple_Monkey,U1-L4-Q03,A,1757816170979,2025-09-30 04:29:07.291677+00,2025-11-18 18:48:04.356213+00
41,Apple_Monkey,U1-L4-Q04,B,1757816181342,2025-09-30 04:29:07.403399+00,2025-11-18 18:48:04.243082+00
42,Apple_Monkey,U1-L4-Q05,E,1757816187593,2025-09-30 04:29:07.517289+00,2025-11-18 18:48:04.146622+00
43,Apple_Monkey,U1-L4-Q06,D,1757816194295,2025-09-30 04:29:07.63039+00,2025-11-18 18:48:03.633899+00
44,Apple_Monkey,U1-L5-Q01,C,1757816632685,2025-09-30 04:29:07.749679+00,2025-11-18 18:48:03.401477+00
45,Apple_Monkey,U1-L5-Q02,E,1757816638530,2025-09-30 04:29:07.852603+00,2025-11-18 18:48:03.304888+00
46,Apple_Monkey,U1-L5-Q03,D,1757816651849,2025-09-30 04:29:07.965388+00,2025-11-18 18:48:03.223634+00
48,Apple_Monkey,U1-L6-Q01,B,1757897609049,2025-09-30 04:29:08.196597+00,2025-11-18 18:48:03.044883+00
49,Apple_Monkey,U1-L6-Q02,D,1757897697557,2025-09-30 04:29:08.30306+00,2025-11-18 18:48:02.911336+00
47,Apple_Monkey,U1-L6-Q03,D,1757897551515,2025-09-30 04:29:08.08204+00,2025-11-18 18:48:03.130522+00
235,Apple_Monkey,U1-L7-Q01,B,1758809748412,2025-09-30 04:35:14.370281+00,2025-11-18 18:48:02.622466+00
234,Apple_Monkey,U1-L7-Q02,D,1758809739325,2025-09-30 04:35:14.257485+00,2025-11-18 18:48:02.74157+00
233,Apple_Monkey,U1-L7-Q03,B,1758809737018,2025-09-30 04:35:14.135877+00,2025-11-18 18:48:02.824916+00
232,Apple_Monkey,U1-L7-Q04,E,1758810064196,2025-09-30 04:35:13.983836+00,2025-11-18 18:48:02.42017+00
231,Apple_Monkey,U1-L7-Q05,A,1758810056424,2025-09-30 04:35:13.849954+00,2025-11-18 18:48:02.517838+00
230,Apple_Monkey,U1-L7-Q06,C,1758810096385,2025-09-30 04:35:13.729135+00,2025-11-18 18:48:02.31279+00
2499,Apple_Monkey,U1-L8-Q01,D,1759792028002,2025-10-06 23:00:25.036561+00,2025-11-19 13:29:59.424481+00
2501,Apple_Monkey,U1-L8-Q02,C,1759792101690,2025-10-06 23:07:34.981522+00,2025-11-19 13:29:59.345225+00
2503,Apple_Monkey,U1-L8-Q03,C,1759792125998,2025-10-06 23:08:46.455921+00,2025-11-19 13:29:59.011422+00
3050,Apple_Monkey,U1-PC-MCQ-A-Q01,B,1759847063302,2025-10-07 14:23:31.627559+00,2025-11-19 13:29:58.186858+00
3065,Apple_Monkey,U1-PC-MCQ-A-Q02,E,1759847127520,2025-10-07 14:25:28.235685+00,2025-11-19 13:29:57.795273+00
3068,Apple_Monkey,U1-PC-MCQ-A-Q03,D,1759847187775,2025-10-07 14:26:28.567509+00,2025-11-19 13:29:57.719454+00
3075,Apple_Monkey,U1-PC-MCQ-A-Q04,E,1759847334183,2025-10-07 14:27:45.933792+00,2025-11-19 13:29:57.630717+00
3080,Apple_Monkey,U1-PC-MCQ-A-Q05,B,1759847464192,2025-10-07 14:29:28.564003+00,2025-11-19 13:29:57.248406+00
3095,Apple_Monkey,U1-PC-MCQ-A-Q06,D,1759847546232,2025-10-07 14:32:27.048595+00,2025-11-19 13:29:57.120411+00
6127,Apple_Monkey,U1-PC-MCQ-A-Q07,E,1760669149404,2025-10-17 02:45:49.769307+00,2025-11-19 13:29:56.543227+00
6128,Apple_Monkey,U1-PC-MCQ-A-Q08,D,1760669201860,2025-10-17 02:46:42.13618+00,2025-11-19 13:29:55.994453+00
6129,Apple_Monkey,U1-PC-MCQ-A-Q09,C,1760669364678,2025-10-17 02:48:09.789371+00,2025-11-19 13:29:55.893829+00
6132,Apple_Monkey,U1-PC-MCQ-A-Q10,E,1760669685949,2025-10-17 02:52:47.705374+00,2025-11-19 13:29:55.390897+00
6134,Apple_Monkey,U1-PC-MCQ-A-Q11,A,1760669876081,2025-10-17 02:57:56.418662+00,2025-11-19 13:29:55.316134+00
6135,Apple_Monkey,U1-PC-MCQ-A-Q12,A,1760669984269,2025-10-17 02:59:44.686385+00,2025-11-19 13:29:55.220591+00
6147,Apple_Monkey,U1-PC-MCQ-A-Q13,C,1760674835669,2025-10-17 04:18:23.732057+00,2025-11-19 13:29:54.730455+00
6149,Apple_Monkey,U1-PC-MCQ-A-Q14,E,1760674861855,2025-10-17 04:21:02.067585+00,2025-11-19 13:29:54.644254+00
6150,Apple_Monkey,U1-PC-MCQ-A-Q15,A,1760674944563,2025-10-17 04:22:24.874208+00,2025-11-19 13:29:54.549449+00
6151,Apple_Monkey,U1-PC-MCQ-A-Q16,A,1760674982056,2025-10-17 04:23:02.270909+00,2025-11-19 13:29:54.459694+00
6183,Apple_Monkey,U1-PC-MCQ-A-Q17,B,1760707601777,2025-10-17 13:26:42.585688+00,2025-11-19 13:29:54.242919+00
6184,Apple_Monkey,U1-PC-MCQ-A-Q18,A,1760707629424,2025-10-17 13:27:10.060616+00,2025-11-19 13:29:54.143705+00
6188,Apple_Monkey,U1-PC-MCQ-B-Q01,C,1760707896547,2025-10-17 13:27:36.925618+00,2025-11-19 13:29:53.972394+00
7186,Apple_Monkey,U1-PC-MCQ-B-Q02,B,1760708049778,2025-10-17 13:32:48.999407+00,2025-11-19 13:29:53.899116+00
7197,Apple_Monkey,U1-PC-MCQ-B-Q03,A,1760708282698,2025-10-17 13:35:47.19315+00,2025-11-19 13:29:53.705053+00
7200,Apple_Monkey,U1-PC-MCQ-B-Q04,C,1760708347278,2025-10-17 13:39:08.099268+00,2025-11-19 13:29:53.603937+00
6136,Apple_Monkey,U1-PC-MCQ-B-Q05,A,1760670212156,2025-10-17 03:03:32.518112+00,2025-11-19 13:29:54.825498+00
101385,Apple_Monkey,U1-PC-MCQ-B-Q06,D,1762314445899,2025-11-05 03:47:26.276739+00,2025-11-19 13:29:48.430197+00
7203,Apple_Monkey,U1-PC-MCQ-B-Q07,D,1762314495125,2025-10-17 13:40:22.718441+00,2025-11-19 13:29:48.318933+00
101387,Apple_Monkey,U1-PC-MCQ-B-Q08,D,1762314566949,2025-11-05 03:49:27.413457+00,2025-11-19 13:29:48.215495+00
